Unique Id; Longitude; Latitude
882;32.429292;-57.7655
883;32.277983;-60.000966
884;32.0653;-63.143198
885;31.996085;-64.165785
886;31.978552;-64.424826
887;31.489163;-65.936846
888;30.912994;-67.508913
889;30.487014;-68.671191
890;30.237788;-69.3512
891;30.0;-70.0
892;26.299971;-78.800011
893;24.899981;-77.5
894;-20.00001;36.0
895;-24.00001;36.0
896;21.733724;90.183205
897;-23.0;42.0
898;21.99999;91.0
899;18.299999;-87.300003
900;42.099991;16.700001
901;42.999969;16.00001
902;15.99998;97.0
903;14.4;93.299988
904;20.00001;92.0
905;-24.299999;-46.299999
906;-23.299999;-43.25
907;8.39998;120.050003
908;5.99997;114.000023
909;1.09999;119.5
910;8.39998;104.899979
911;8.0;76.999992
912;7.24998;82.25
913;5.89997;81.899986
914;27.79999;121.300003
915;31.299971;122.899986
916;21.599991;-83.900002
917;21.944059;-85.950456
918;21.84399;-85.861817
919;14.30001;-80.5
920;-13.837218;93.689763
921;-16.097859;90.000618
922;-15.124199;94.952967
923;-19.926615;90.074577
924;-19.926663;90.074528
925;37.199989;3.09999
926;36.200001;-0.59999
927;42.999989;4.99999
928;41.29998;2.5
929;-5.80001;13.69999
930;-14.35031;-170.692505
931;-38.249981;-57.099991
932;-39.299999;-61.25
933;-38.400002;148.300003
934;-37.700039;150.100006
935;30.0;-160.0
936;35.385713;-165.00001
937;39.999981;-170.0
938;39.999981;-160.000015
939;34.404899;-155.948313
940;35.385716;-155.000014
941;30.0;-150.0
942;29.265609;-150.66885
943;24.877911;-154.601471
944;22.134235;-156.870009
945;21.364839;-157.506164
946;21.216055;-157.629182
947;21.166902;-157.669824
948;29.252276;-150.00021
949;29.209598;-150.000222
950;28.238393;-150.000495
951;26.10632;-150.001094
952;26.102374;-150.001095
953;24.791965;-150.001345
954;24.692944;-150.001317
955;21.289201;-150.000362
956;21.128997;-150.000317
957;29.626568;-149.604699
958;29.132668;-149.081874
959;29.06119;-149.00621
960;27.570763;-147.4285
961;27.559391;-147.416462
962;26.367134;-146.154383
963;26.289373;-146.072068
964;25.276491;-144.999869
965;20.774234;-140.730375
966;20.64292;-140.606499
967;30.004678;-150.250102
968;30.065204;-156.513536
969;30.015071;-149.194172
970;30.040723;-147.822522
971;30.051855;-142.77239
972;30.050355;-142.692205
973;29.99999;-140.0
974;30.137167;-150.126161
975;36.049901;-155.719723
976;30.271908;-150.000114
977;34.235564;-146.104063
978;35.385718;-145.000004
979;33.486433;-133.206696
980;34.926485;-130.002074
981;35.245946;-129.251756
982;36.356673;-126.521177
983;36.480783;-126.186616
984;37.107815;-124.496325
985;37.497865;-123.444867
986;28.302221;-141.797105
987;27.799861;-142.328858
988;27.612529;-142.527151
989;21.251637;-148.819149
990;21.104081;-148.95836
991;28.611265;-140.00039
992;28.485776;-140.000425
993;28.032631;-140.000553
994;20.710044;-140.000199
995;20.593528;-140.000167
996;28.978449;-138.918595
997;28.884216;-138.81884
998;27.618285;-137.478723
999;25.276565;-134.999776
1000;22.199459;-132.074802
1001;30.088834;-135.249998
1002;30.089665;-134.793494
1003;29.99999;-130.0
1004;30.935849;-140.860765
1005;30.974611;-140.896416
1006;33.516934;-143.234741
1007;34.493277;-144.132743
1008;35.341604;-144.952203
1009;31.330785;-140.000556
1010;31.388607;-140.00058
1011;35.696939;-140.0018
1012;37.671175;-140.000974
1013;39.592028;-140.000171
1014;32.304045;-137.880699
1015;32.415768;-137.777934
1016;35.385712;-135.000009
1017;37.103795;-133.138294
1018;38.070851;-132.090391
1019;39.680252;-130.346443
1020;31.698254;-128.524304
1021;31.870372;-128.374743
1022;33.847251;-126.656944
1023;35.4635;-125.084299
1024;35.762747;-124.792036
1025;37.275218;-123.31486
1026;37.282408;-123.307838
1027;37.566799;-123.030084
1028;37.65906;-122.939976
1029;33.369757;143.099554
1030;25.276649;145.000148
1031;30.0;140.0
1032;40.0;150.000015
1033;35.385729;154.999974
1034;39.999981;160.0
1035;33.245684;157.014739
1036;34.381971;159.998155
1037;36.0085;164.325142
1038;36.600314;166.316129
1039;37.695042;169.999029
1040;38.234539;171.814011
1041;39.999981;180.0
