Starting Coordinate; End Coordinate; True Distance(km) 
[1.1, 173.100006];[2.48897, -170.128738];1872.3159772149759
[1.1, 173.100006];[-0.67261, -172.063126];1663.1458104747
[1.1, 173.100006];[-3.83334, -174.0];1535.3485262424292
[25.700001, 120.0];[25.823579, 122.417975];242.53003855958187
[25.700001, 120.0];[25.823579, 122.417975];242.53003855958187
[25.700001, 120.0];[27.79999, 121.300003];266.8058188549772
[25.700001, 120.0];[22.099991, 120.0];400.30340079152114
[25.700001, 120.0];[22.99999, 117.0];427.16202105897406
[25.823579, 122.417975];[25.99999, 128.000015];558.5975462336608
[25.823579, 122.417975];[25.99999, 128.000015];558.5975462336608
[25.99999, 128.000015];[29.081404, 124.891693];753.7732562213149
[20.00001, 129.999985];[21.175629, 124.506291];586.5686250949537
[20.00001, 129.999985];[18.99999, 122.999977];742.0357856716404
[20.00001, 129.999985];[25.99999, 128.000015];697.8246476823679
[20.00001, 129.999985];[23.703474, 132.206951];470.5711212262242
[20.00001, 129.999985];[16.85345, 129.999485];349.8819956342679
[20.00001, 129.999985];[18.26882, 131.828036];271.90329040429424
[20.00001, 129.999985];[20.058299, 134.213872];440.26010461868265
[20.00001, 129.999985];[13.39999, 125.699997];864.7613749917847
[20.00001, 129.999985];[21.217798, 124.535486];1063.2995493950334
[21.175629, 124.506291];[21.701109, 122.050711];260.78289958117506
[21.175629, 124.506291];[21.217798, 124.535486];5.580998345191064
[21.701109, 122.050711];[22.099991, 120.0];216.16970186041067
[21.701109, 122.050711];[22.099991, 120.0];216.16970186041067
[22.099991, 120.0];[21.699989, 114.100014];610.2901484499719
[22.099991, 120.0];[18.99999, 120.0];344.7048599190321
[50.79998, -1.0];[50.099979, -3.99999];226.20233476680917
[50.79998, -1.0];[50.26274, -0.343372];75.64802094118697
[50.79998, -1.0];[50.79998, 1.30001];161.6349166390405
[50.79998, -1.0];[50.79998, 1.30001];161.6349166390405
[50.79998, 1.30001];[49.89999, 0.09999];131.39121077111807
[50.79998, 1.30001];[51.099979, 2.1];65.21780758791789
[4.99999, 2.5];[2.99997, 8.0];649.3228246911332
[4.99999, 2.5];[4.316434, 0.036937];355.6183046725728
[4.316434, 0.036937];[4.0, -1.0];120.26108980764721
[4.316434, 0.036937];[4.99999, 2.5];283.3585213397246
[4.0, -1.0];[4.99999, 2.5];403.59729309310615
[4.0, -1.0];[4.316434, 0.036937];237.84891596092692
[-35.099998, -56.5];[-34.200031, -58.400009];200.54581887851143
[-35.099998, -56.5];[-34.200031, -58.400009];200.54581887851143
[-35.099998, -56.5];[-35.249989, -54.599998];78.47058558123277
[-35.249989, -54.599998];[-35.099998, -56.5];173.49282441221501
[-35.249989, -54.599998];[-32.20002, -51.799999];426.6510370144601
[10.0, -50.0];[12.74586, -58.97554];1024.8340593074506
[10.0, -50.0];[7.800353, -50.90855];264.16836136327663
[10.0, -50.0];[12.120634, -56.795139];1310.5573672734506
[10.0, -50.0];[10.550863, -55.546846];1207.639144655002
[10.0, -50.0];[4.493872, -44.441041];1176.3906506524845
[12.74586, -58.97554];[12.747135, -58.979709];0.47385391907796426
[12.74586, -58.97554];[12.617818, -59.124013];21.497353915272548
[12.747135, -58.979709];[12.990864, -59.776401];90.51545849915712
[12.747135, -58.979709];[12.623108, -59.133265];21.625972653775747
[12.990864, -59.776401];[13.082204, -60.074967];33.90061339159814
[12.990864, -59.776401];[12.623108, -59.133265];80.83986517745807
[13.082204, -60.074967];[13.381307, -61.052661];110.93151217117908
[13.082204, -60.074967];[13.49999, -61.5];161.05711086264972
[13.381307, -61.052661];[13.087571, -59.945523];124.20976475803559
[13.381307, -61.052661];[13.49999, -61.5];21.31487153144831
[13.49999, -61.5];[13.381307, -61.052661];50.14715177270151
[13.49999, -61.5];[17.057321, -66.274311];647.0048808739381
[13.49999, -61.5];[14.557933, -61.562239];117.82950407875956
[13.49999, -61.5];[11.99997, -61.900009];319.71921529816575
[18.89999, -64.349998];[18.432128, -65.017646];87.48341571484175
[18.89999, -64.349998];[18.430587, -65.010096];86.94826610664336
[18.89999, -64.349998];[18.700001, -66.0];175.10083404559524
[18.89999, -64.349998];[18.700001, -66.0];175.10083404559524
[18.89999, -64.349998];[17.54067, -62.836312];311.3747113731141
[18.700001, -66.0];[18.666651, -66.166763];17.95322907358418
[17.0, -62.249989];[16.568413, -62.092593];50.831468007835184
[17.0, -62.249989];[17.129815, -64.132373];200.61560607323742
[17.0, -62.249989];[18.89999, -64.349998];306.55608172890226
[17.0, -62.249989];[17.15153, -64.155046];103.79612809807308
[17.0, -62.249989];[17.54067, -62.836312];122.75389189077566
[17.0, -62.249989];[20.00001, -60.0];75.38241305913192
[17.15153, -64.155046];[17.153227, -64.177514];2.394661046840427
[17.15153, -64.155046];[17.129815, -64.132373];3.4109077922957387
[17.153227, -64.177514];[17.131412, -64.155532];3.3674373257729977
[17.153227, -64.177514];[17.258945, -65.827293];172.2859626866432
[17.258945, -65.827293];[17.29999, -66.599998];82.16993947006587
[17.258945, -65.827293];[17.248325, -65.850837];2.765024436747926
[17.29999, -66.599998];[17.823999, -67.297318];94.12679898134552
[17.29999, -66.599998];[16.694471, -67.07878];84.41266759078394
[42.199989, 11.10001];[41.499989, 12.0];107.77375744884951
[42.199989, 11.10001];[41.499989, 12.0];107.77375744884951
[42.199989, 11.10001];[43.599998, 9.99999];179.6147457876167
[42.199989, 11.10001];[43.599998, 9.99999];179.6147457876167
[69.999977, 17.0];[71.149986, 23.39999];268.8271064364532
[69.999977, 17.0];[71.149986, 23.39999];268.8271064364532
[71.149986, 23.39999];[69.0, 42.999989];400.32629150289563
[59.399971, 19.0];[62.349991, 19.999981];332.45171156698405
[59.399971, 19.0];[59.999989, 21.400009];150.25498730783764
[59.399971, 19.0];[58.5, 17.099991];128.1831967059025
[58.5, 17.099991];[59.399971, 19.0];147.93947020990205
[-60.000019, -30.00001];[-55.338608, -34.644908];587.0032804725367
[-55.338608, -34.644908];[-55.067602, -34.914953];34.665886785182174
[-55.338608, -34.644908];[-55.430045, -34.749952];12.14090076899493
[-55.067602, -34.914953];[-55.172972, -35.017149];13.39807026577045
[-55.067602, -34.914953];[-50.000011, -40.0];398.3416272384872
[-50.000011, -40.0];[-55.430255, -44.750181];1279.1844731989795
[-50.000011, -40.0];[-60.000019, -40.0];1112.409077228428
[-50.000011, -40.0];[-55.172972, -35.017149];1280.0689510080445
[-50.000011, -30.0];[-55.067602, -34.914953];653.8792965601822
[-50.000011, -30.0];[-50.000011, -40.0];714.2151247091526
[-50.000011, -30.0];[-50.000011, -20.0];714.2151247091525
[-50.000011, -30.0];[-55.338608, -34.644908];1279.1821456233658
[-50.000011, -30.0];[-60.000019, -30.00001];1112.4108562085953
[-55.172972, -35.017149];[-55.430045, -34.749952];33.21399898835909
[-55.172972, -35.017149];[-60.000019, -40.0];363.04516390205504
[-60.000019, -40.0];[-60.000019, -30.00001];555.4450265656457
[32.999989, 34.799999];[32.242413, 34.385358];92.75834020931617
[32.999989, 34.799999];[34.200008, 35.200001];138.48312217906746
[32.999989, 34.799999];[31.899981, 34.200001];134.64956447518264
[32.999989, 34.799999];[33.907783, 29.695964];484.1003961133919
[32.999989, 34.799999];[33.937264, 35.111386];186.81391631968003
[33.937264, 35.111386];[34.200008, 35.200001];30.334619327821006
[33.937264, 35.111386];[32.999989, 34.799999];108.14850310462865
[34.200008, 35.200001];[33.937264, 35.111386];51.66633553511993
[34.200008, 35.200001];[35.900002, 35.700001];280.14443245760776
[34.200008, 35.200001];[34.656029, 28.881212];1119.1628183705354
[44.0, 9.2];[43.599998, 7.8];120.83993796763173
[44.0, 9.2];[43.599998, 7.8];120.83993796763173
[43.599998, 7.8];[42.799999, 6.0];170.87723903518392
[43.599998, 7.8];[42.799999, 6.0];170.87723903518392
[24.700001, 53.799999];[24.700001, 52.099991];171.73649420864794
[24.700001, 53.799999];[25.6, 55.200001];68.44558926274428
[25.6, 55.200001];[24.700001, 53.799999];172.83328371058417
[25.6, 55.200001];[26.29999, 51.599991];368.24806191831544
[10.99999, -61.0];[6.99999, -57.900002];560.0818391443975
[10.99999, -61.0];[11.99997, -61.900009];148.25925312855944
[10.99999, -61.0];[11.99997, -61.900009];148.25925312855944
[10.99999, -61.0];[5.4, -51.900002];1179.3293431204543
[11.99997, -61.900009];[13.49999, -61.5];172.34389595230377
[21.699989, -71.199997];[19.751069, -68.901259];43.03863712490333
[21.699989, -71.199997];[20.817065, -71.705206];38.99509131938303
[19.751069, -68.901259];[19.75, -68.900002];0.17729874923548625
[19.751069, -68.901259];[19.750595, -68.900063];0.13581025255676335
[19.75, -68.900002];[20.29999, -72.0];329.5821355175255
[19.75, -68.900002];[20.29999, -72.0];329.5821355175255
[19.75, -68.900002];[18.49999, -67.949989];171.11495449428338
[19.75, -68.900002];[19.749492, -68.897283];0.290107529016029
[19.75, -68.900002];[19.751071, -68.901265];0.17791392917463272
[-30.000019, 159.999985];[-27.150021, 153.800003];683.1926710658811
[-30.000019, 159.999985];[-30.00001, 169.999985];1552.747281335517
[-30.000019, 159.999985];[-30.00001, 169.999985];1552.747281335517
[-30.000019, 159.999985];[-33.000011, 152.25];806.7372205931232
[-30.000019, 159.999985];[-33.090292, 163.503757];794.150425441285
[-30.000019, 159.999985];[-25.422386, 165.1541];1091.3380609301655
[-30.000019, 159.999985];[-24.722239, 164.454584];1052.454084619462
[-30.00001, 169.999985];[-31.816158, 171.81613];266.07999365130826
[-30.00001, 169.999985];[-31.952687, 171.020711];237.93344260408614
[-30.00001, 169.999985];[-27.15074, 172.331772];390.1323229987322
[-30.00001, 169.999985];[-30.09355, 174.999542];481.2930534202467
[-30.00001, 169.999985];[-23.0, 167.700012];811.080030296481
[-20.00001, 160.0];[-23.526008, 163.543572];536.2537587420584
[-20.00001, 160.0];[-20.900009, 163.5];378.1266746517328
[-20.00001, 160.0];[-24.963613, 160.001393];551.9282523717386
[-20.00001, 160.0];[-23.590118, 163.38663];530.6214973348474
